prompt,quality_score,quality_label,clarity,specificity,context,goal_definition,constraints,output_format,role_persona,audience,ambiguity,completeness,actionability,consistency
Explain photosynthesis in simple terms.,44,FAIR,55,45,5,50,0,0,0,20,40,45,45,55
Write a Python function to sort a list of numbers.,48,FAIR,60,50,0,50,0,15,0,0,35,50,52,60
Summarize the causes of World War I in 3 paragraphs.,52,FAIR,62,55,10,55,15,20,0,0,30,52,54,62
"Translate this English paragraph to Spanish: 'Hello, I hope you are having a wonderful day.'",55,FAIR,65,60,10,60,10,15,0,0,25,58,60,65
Create a 3-day workout split for upper and lower body strength.,53,FAIR,62,55,10,55,10,15,0,15,30,52,55,62
Write a professional email declining an invitation to speak at a conference.,50,FAIR,60,50,10,52,10,10,0,20,35,50,52,60
Explain how neural networks learn using the backpropagation algorithm.,54,FAIR,62,55,10,55,0,0,0,10,30,55,54,62
Write a SQL query to find the top 5 customers by total order amount from an orders table.,58,FAIR,68,60,10,60,10,20,0,0,25,60,62,68
Draft a product description for an ergonomic mechanical keyboard highlighting wrist comfort.,52,FAIR,62,55,10,55,10,10,0,25,30,52,55,62
Write a short story about an astronaut stranded on Mars who finds an unexpected signal.,51,FAIR,60,55,10,55,0,10,0,15,32,50,52,60
Compare Docker containers with virtual machines in terms of resource utilization and startup speed.,56,FAIR,65,60,10,60,10,15,0,10,25,58,58,65
Give me 5 creative marketing slogans for a zero-waste grocery delivery service.,55,FAIR,65,58,10,58,10,20,0,20,25,56,58,65
Write a Python script using requests to fetch and print the title of a webpage.,53,FAIR,62,55,10,55,5,20,0,0,30,54,55,62
Explain the concept of compound interest to a high school student with a numerical example.,57,FAIR,68,60,10,60,10,10,0,30,22,60,60,68
Draft an apology letter to a client whose shipment was delayed by three days.,50,FAIR,60,50,15,52,10,10,0,20,35,50,52,60
Write a regex to match valid US phone numbers in formats like (123) 456-7890 or 123-456-7890.,58,FAIR,68,62,10,62,10,25,0,0,22,60,62,68
Summarize the main differences between relational and non-relational databases.,51,FAIR,60,52,10,55,5,10,0,10,32,52,52,60
Write a job description for a junior frontend developer using React and TypeScript.,54,FAIR,62,55,10,58,10,15,0,20,28,55,56,62
Suggest 4 icebreaker questions for an engineering team retrospective meeting.,52,FAIR,62,55,10,55,10,15,0,20,28,52,55,62
Explain how public-key cryptography enables secure communication across the internet.,54,FAIR,62,55,10,56,5,10,0,10,30,55,55,62
Write a poem with an AABB rhyme scheme about the changing of seasons in autumn.,52,FAIR,62,55,5,55,15,15,0,10,28,52,54,62
Create a checklist for deploying a web application to production safely.,53,FAIR,62,55,10,55,10,20,0,15,28,54,55,62
Write a script to convert a CSV file to JSON format in Python.,54,FAIR,65,58,5,58,5,25,0,0,25,56,58,65
Describe the key steps in the scientific method with an example experiment.,53,FAIR,62,55,10,55,5,10,0,15,30,54,55,62
Write a follow-up email after a job interview thanking the hiring manager for their time.,52,FAIR,62,52,15,55,10,10,0,20,30,52,54,62
Explain the difference between variance and standard deviation in statistics.,55,FAIR,65,58,10,58,5,10,0,15,25,56,58,65
Write a bash command to find all files larger than 100MB in the home directory.,58,FAIR,68,62,10,62,10,25,0,0,20,60,62,68
Give me 3 pros and 3 cons of working remotely from an employee perspective.,56,FAIR,65,60,10,60,15,20,0,15,22,58,58,65
Draft a short meeting agenda for a quarterly project review with stakeholders.,50,FAIR,60,52,10,52,10,15,0,15,32,50,52,60
Provide a clear function to calculate factorial recursively in Python.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain function to calculate factorial recursively related to Python in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear snippet to debounce a button click handler in JavaScript.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain snippet to debounce a button click handler related to JavaScript in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear query to calculate average monthly salary by department in SQL.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain query to calculate average monthly salary by department related to SQL in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear card layout with responsive flexbox properties in HTML/CSS.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain card layout with responsive flexbox properties related to HTML/CSS in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear explanation of how git rebase differs from git merge in Git.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain explanation of how git rebase differs from git merge related to Git in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear basic Dockerfile for a Node.js web server in DevOps.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain basic Dockerfile for a Node.js web server related to DevOps in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear summary of standard metrics for binary classification in Data Science.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain summary of standard metrics for binary classification related to Data Science in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear list of 5 on-page optimization factors to review in SEO.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain list of 5 on-page optimization factors to review related to SEO in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear guide to setting up multi-factor authentication in Cybersecurity.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain guide to setting up multi-factor authentication related to Cybersecurity in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear overview of AWS S3 storage classes and pricing tiers in Cloud.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain overview of AWS S3 storage classes and pricing tiers related to Cloud in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear framework for giving constructive feedback to peers in Management.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain framework for giving constructive feedback to peers related to Management in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear introductory paragraph for an essay on climate adaptation in Writing.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain introductory paragraph for an essay on climate adaptation related to Writing in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear template for a promotional tweet announcing a feature release in Marketing.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain template for a promotional tweet announcing a feature release related to Marketing in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear explanation of the difference between stocks and bonds in Finance.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain explanation of the difference between stocks and bonds related to Finance in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear breakdown of how supply and demand determine market price in Economics.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain breakdown of how supply and demand determine market price related to Economics in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear summary of cellular respiration stages in animal cells in Biology.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain summary of cellular respiration stages in animal cells related to Biology in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear table of alkali metals with their atomic numbers and symbols in Chemistry.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain table of alkali metals with their atomic numbers and symbols related to Chemistry in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear explanation of Newton's three laws of motion with examples in Physics.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain explanation of Newton's three laws of motion with examples related to Physics in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear timeline of major events in the American Civil Rights Movement in History.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain timeline of major events in the American Civil Rights Movement related to History in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear overview of Maslow's hierarchy of needs with examples in Psychology.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain overview of Maslow's hierarchy of needs with examples related to Psychology in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear definition of social stratification with modern examples in Sociology.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain definition of social stratification with modern examples related to Sociology in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear lesson plan outline for introducing fractions to 4th graders in Education.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain lesson plan outline for introducing fractions to 4th graders related to Education in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear guidelines for maintaining proper posture when working at a desk in Health.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain guidelines for maintaining proper posture when working at a desk related to Health in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear sample one-day meal plan focusing on high-protein vegetarian foods in Nutrition.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain sample one-day meal plan focusing on high-protein vegetarian foods related to Nutrition in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear 3-day weekend itinerary for exploring Kyoto on a budget in Travel.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain 3-day weekend itinerary for exploring Kyoto on a budget related to Travel in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear brief explanation of impressionism and its key visual traits in Art.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain brief explanation of impressionism and its key visual traits related to Art in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear character analysis of Hamlet focusing on his indecision in Literature.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain character analysis of Hamlet focusing on his indecision related to Literature in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear introduction to the trolley problem and ethical utilitarianism in Philosophy.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain introduction to the trolley problem and ethical utilitarianism related to Philosophy in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear explanation of major versus minor scales for beginning musicians in Music.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain explanation of major versus minor scales for beginning musicians related to Music in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Provide a clear breakdown of the three-act story structure in screenwriting in Film.,48,FAIR,60,50,5,50,5,10,0,0,35,48,50,60
Explain breakdown of the three-act story structure in screenwriting related to Film in 200 words.,52,FAIR,62,55,10,55,15,15,0,0,28,52,55,62
Calculate the roots of the quadratic equation 2x^2 + 5x - 3 = 0.,56,FAIR,68,62,5,62,10,20,0,0,20,58,62,68
List 5 common HTTP status codes and their definitions.,55,FAIR,65,60,5,60,10,20,0,0,20,56,60,65
What is the time complexity of quicksort in the worst case and why?,55,FAIR,65,60,5,60,10,15,0,0,20,56,60,65
Write a prompt for Midjourney to generate a watercolor painting of a red fox.,52,FAIR,62,55,5,55,10,15,0,0,28,52,55,62
Convert 150 Fahrenheit to Celsius with the conversion formula shown.,57,FAIR,68,65,5,65,10,25,0,0,15,60,65,68
"Write a Python function to check whether a string is a valid palindrome, ignoring spaces, punctuation, and letter casing. Include two test examples.",68,GOOD,78,72,15,72,15,25,0,0,15,70,72,78
Explain how DNS resolution works step-by-step from browser URL entry to IP connection. Format as a numbered list suitable for a junior sysadmin.,70,GOOD,80,75,15,75,15,25,0,20,12,72,74,80
"Summarize the attached quarterly earnings highlights into 4 bullet points focusing on revenue growth, customer churn, operating margin, and Q3 guidance.",72,GOOD,80,76,20,76,20,25,0,15,12,74,75,80
Write a cold outreach email to prospective B2B clients introducing our automated invoice auditing tool. Keep it under 150 words with a single call to action.,69,GOOD,78,72,15,72,20,20,0,25,15,70,72,78
"Create a SQL schema for an e-commerce platform with users, orders, order_items, and products tables. Include foreign keys and appropriate data types.",73,GOOD,82,78,15,78,20,25,0,0,10,75,76,82
"Explain the differences between L1 and L2 regularization in linear regression, including their loss formulas and how each handles feature selection.",71,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
"Draft a 500-word blog post explaining why web accessibility matters for SEO. Include headings, bullet points, and practical tips for developers.",68,GOOD,78,70,15,72,20,25,0,20,15,70,70,78
"Write a Python script using pandas to load a CSV, drop rows with missing values in column 'price', and calculate the 90th percentile of 'revenue'.",72,GOOD,82,76,15,76,20,25,0,0,12,74,75,82
Translate this technical abstract to German while maintaining formal terminology and markdown formatting. Note any untranslatable software terms.,69,GOOD,78,72,15,72,15,20,0,10,15,70,72,78
"Compare PostgreSQL and MongoDB for a real-time messaging application across data consistency, schema flexibility, and query performance. Use a markdown comparison table.",74,GOOD,82,78,20,78,20,30,0,15,10,75,76,82
"Write a comprehensive Dockerfile for a FastAPI application running with Uvicorn on Python 3.11, using a non-root user and multi-stage build.",73,GOOD,82,78,15,78,20,25,0,0,10,75,76,82
Draft a polite but firm message to a freelancer notifying them that their submitted deliverable did not meet specification and outlining needed revisions.,67,GOOD,76,70,15,70,15,15,0,20,18,68,70,76
"Explain the mechanism of CRISPR-Cas9 gene editing to an undergraduate biology student, detailing guide RNA targeting and DNA double-strand break repair.",72,GOOD,80,76,15,76,15,15,0,25,12,74,75,80
Write 3 varied LinkedIn headline options for a Senior Data Engineer with 8 years of experience in distributed streaming pipelines and cloud data warehousing.,68,GOOD,78,72,15,72,20,25,0,20,15,70,72,78
Create a bash script that creates a daily timestamped compressed tar backup of /var/log into /backups/ and deletes archives older than 14 days.,74,GOOD,82,78,20,78,20,25,0,0,10,76,76,82
Explain the CAP theorem with concrete examples of system choices (e.g. Cassandra vs. Spanner) when network partitions occur.,70,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
"Write an image generation prompt for a macro photo of an iridescent dragonfly resting on a dewy lotus flower, soft morning light, 100mm f/2.8 lens style.",71,GOOD,80,75,20,75,20,20,0,0,12,72,74,80
"Design an interview rubric for evaluating mid-level backend candidates on system design, coding quality, and communication, scored 1-4 with criteria.",73,GOOD,82,78,20,78,20,25,0,20,10,75,76,82
"Write a Python unit test using pytest to test a bank account transfer function for insufficient funds, negative transfers, and successful transactions.",74,GOOD,82,78,20,78,20,25,0,0,10,76,76,82
"Draft a press release announcing our company's Series A funding round of $12M led by Peak Ventures, highlighting product expansion and team hiring.",71,GOOD,80,74,20,75,20,20,0,20,12,72,74,80
"Write a Python class implementing a priority queue using the heapq module, with push, pop, and peek methods.",72,GOOD,80,76,15,76,15,25,0,0,12,74,75,80
Explain the difference between optimistic and pessimistic locking in relational databases with a banking scenario.,71,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
"Create a 4-step onboarding checklist for remote team members covering hardware, credentials, communication norms, and initial tasks.",69,GOOD,78,72,15,72,15,25,0,20,15,70,72,78
"Draft a concise privacy policy section explaining cookies, analytics tracking, and user consent mechanisms under GDPR.",70,GOOD,80,74,20,75,20,20,0,15,12,72,74,80
"Write a TypeScript interface definition for a user profile object including optional avatar URL, roles enum, and created timestamp.",72,GOOD,82,78,15,78,20,25,0,0,10,74,75,82
Explain how backpressure works in reactive stream processing and why unbounded buffers cause memory exhaustion.,71,GOOD,80,75,15,75,15,15,0,10,12,72,74,80
Write an email newsletter segment highlighting 3 AI tools for productivity with a 2-sentence description and primary benefit for each.,68,GOOD,78,72,15,72,20,25,0,20,15,70,72,78
Create an analytical breakdown of customer acquisition cost (CAC) vs. customer lifetime value (LTV) for a subscription SaaS startup.,73,GOOD,82,78,20,78,20,20,0,15,10,75,76,82
"Write a Python function to validate whether a string contains balanced brackets: '()', '[]', '{}' using a stack.",74,GOOD,82,78,15,78,20,25,0,0,10,76,76,82
"Explain the concept of semantic versioning (SemVer) with examples of patch, minor, and major release triggers.",70,GOOD,80,75,15,75,15,20,0,15,12,72,74,80
Draft a 2-minute elevator pitch for a clean-tech startup recycling lithium-ion electric vehicle batteries.,67,GOOD,76,70,15,70,20,20,0,20,18,68,70,76
"Write a SQL query using window functions to rank employees by salary within each department, displaying ties appropriately.",74,GOOD,82,78,20,78,20,25,0,0,10,76,76,82
Explain the difference between process and thread concurrency in operating systems with memory sharing implications.,71,GOOD,80,75,15,75,15,15,0,10,12,72,74,80
Create a user story for adding two-factor authentication to an existing login page following the standard agile template.,70,GOOD,80,75,15,75,20,25,0,20,12,72,74,80
Write a Python generator function to stream prime numbers up to n using the Sieve of Eratosthenes.,73,GOOD,82,78,15,78,20,25,0,0,10,75,76,82
Summarize key takeaways from the Agile Manifesto and contrast them with traditional waterfall development in a table.,71,GOOD,80,75,15,75,20,25,0,15,12,72,74,80
Write a prompt for generating an editorial book cover illustration for a mystery novel set in Victorian London during a fog.,69,GOOD,78,72,20,72,15,20,0,0,15,70,72,78
Explain the difference between cross-validation and a simple train-test split for small tabular datasets.,70,GOOD,80,75,15,75,15,15,0,15,12,72,74,80
"Draft a bug report template for QA engineers with fields for steps to reproduce, expected vs. actual behavior, and environment.",72,GOOD,82,76,20,76,20,25,0,20,10,74,75,82
